"weekday","month","count"
"Friday",4,90303
"Friday",5,133991
"Friday",6,105056
"Friday",7,102735
"Friday",8,148674
"Friday",9,160380
"Monday",4,60861
"Monday",5,63846
"Monday",6,94655
"Monday",7,93189
"Monday",8,91633
"Monday",9,137288
"Saturday",4,77218
"Saturday",5,102990
"Saturday",6,81364
"Saturday",7,90260
"Saturday",8,132225
"Saturday",9,162057
"Sunday",4,51251
"Sunday",5,56168
"Sunday",6,79656
"Sunday",7,76327
"Sunday",8,110246
"Sunday",9,116532
"Thursday",4,85067
"Thursday",5,128921
"Thursday",6,115325
"Thursday",7,148439
"Thursday",8,124117
"Thursday",9,153276
"Tuesday",4,91185
"Tuesday",5,76662
"Tuesday",6,88134
"Tuesday",7,137454
"Tuesday",8,107124
"Tuesday",9,163230
"Wednesday",4,108631
"Wednesday",5,89857
"Wednesday",6,99654
"Wednesday",7,147717
"Wednesday",8,115256
"Wednesday",9,135373
